Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
anti,people,new,gombe,antivenom,deaths,health,dog,snakebites,venomous
blood,ntd,carbon,approves,bite,govt,nigeria,takes,pit,bites
snakes,programs,medicine,government,ministry,scarcity,stock,courageous,bit,deadly
know,treatment,monoxide,state,senate,human,adewole,owner,venomous,working
bitten,year,research,antisnakevenom,provide,australian,minister,protect,bulls,professor
envenoming,million,quest,news,victims,one,lacking,need,farm,treating
getting,poor,effects,hope,wants,brown,india,woman,got,funding
like,diseases,modernize,common,died,nigerian,says,snaksymp,children,project
dies,learn,nigeria,time,crisis,body,isaac,even,antivenoms,aimed
victims,reaching,journal,worldwide,due,worlds,tropical,live,kids,kill
