V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0.089285714,0.107142857,0.089285714,0.089285714,0.142857143,0.089285714,0.125,0.089285714,0.089285714,0.089285714
0.098360656,0.081967213,0.098360656,0.098360656,0.114754098,0.081967213,0.131147541,0.114754098,0.098360656,0.081967213
0.15,0.083333333,0.1,0.116666667,0.083333333,0.083333333,0.1,0.083333333,0.116666667,0.083333333
0.14516129,0.080645161,0.080645161,0.096774194,0.080645161,0.129032258,0.112903226,0.096774194,0.080645161,0.096774194
0.084745763,0.118644068,0.101694915,0.084745763,0.118644068,0.101694915,0.101694915,0.101694915,0.101694915,0.084745763
0.114754098,0.081967213,0.081967213,0.147540984,0.114754098,0.081967213,0.081967213,0.098360656,0.114754098,0.081967213
0.098360656,0.098360656,0.098360656,0.114754098,0.098360656,0.114754098,0.081967213,0.131147541,0.081967213,0.081967213
0.105263158,0.122807018,0.087719298,0.087719298,0.122807018,0.087719298,0.087719298,0.087719298,0.122807018,0.087719298
0.089285714,0.107142857,0.107142857,0.089285714,0.089285714,0.107142857,0.107142857,0.089285714,0.107142857,0.107142857
0.103448276,0.103448276,0.103448276,0.137931034,0.086206897,0.086206897,0.086206897,0.103448276,0.103448276,0.086206897
