V1,V2,V3,V4,V5
0.214285714,0.178571429,0.178571429,0.196428571,0.232142857
0.180327869,0.180327869,0.196721311,0.245901639,0.196721311
0.166666667,0.233333333,0.216666667,0.183333333,0.2
0.177419355,0.258064516,0.193548387,0.177419355,0.193548387
0.203389831,0.220338983,0.186440678,0.186440678,0.203389831
0.180327869,0.213114754,0.213114754,0.229508197,0.163934426
0.213114754,0.180327869,0.196721311,0.196721311,0.213114754
0.175438596,0.228070175,0.175438596,0.210526316,0.210526316
0.178571429,0.214285714,0.196428571,0.214285714,0.196428571
0.224137931,0.172413793,0.24137931,0.172413793,0.189655172
